boutique;Binky Moon, LLC;generic
box;NS1 Limited;generic
bradesco;Banco Bradesco S.A.;generic
bridgestone;Bridgestone Corporation;generic
broadway;Celebrate Broadway, Inc.;generic
broker;DOTBROKER REGISTRY LTD;generic
brother;Brother Industries, Ltd.;generic
brussels;DNS.be vzw;generic
budapest;Top Level Domain Holdings Limited;generic
bugatti;Bugatti International SA;generic
build;Plan Bee LLC;generic
builders;Binky Moon, LLC;generic
business;Binky Moon, LLC;generic
buy;Amazon Registry Services, INC;generic
buzz;DOTSTRATEGY CO.;generic
bzh;Association www.bzh;generic
cab;Binky Moon, LLC;generic
cafe;Binky Moon, LLC;generic
cal;Charleston Road Registry Inc.;generic
call;Amazon Registry Services, Inc.;generic
calvinklein;PVH gTLD Holdings LLC;generic
cam;AC Webconnecting Holding B.V.;generic
camera;Binky Moon, LLC;generic
camp;Binky Moon, LLC;generic
cancerresearch;Australian Cancer Research Foundation;generic
canon;Canon Inc.;generic
capetown;ZA Central Registry NPC trading as ZA Central Registry;generic
capital;Binky Moon, LLC;generic
capitalone;Capital One Financial Corporation;generic
car;Cars Registry Limited;generic
caravan;Caravan International, Inc.;generic
cards;Binky Moon, LLC;generic
care;Binky Moon, LLC;generic
career;dotCareer LLC;generic
careers;Binky Moon, LLC;generic
cars;Cars Registry Limited;generic
cartier;Richemont DNS Inc.;generic
casa;Top Level Domain Holdings Limited;generic
case;CNH Industrial N.V.;generic
caseih;CNH Industrial N.V.;generic
cash;Binky Moon, LLC;generic
casino;Binky Moon, LLC;generic
catering;Binky Moon, LLC;generic
catholic;Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication);generic
cba;COMMONWEALTH BANK OF AUSTRALIA;generic
cbn;The Christian Broadcasting Network, Inc.;generic
cbre;CBRE, Inc.;generic
cbs;CBS Domains Inc.;generic
ceb;The Corporate Executive Board Company;generic
center;Binky Moon, LLC;generic
ceo;CEOTLD Pty Ltd;generic
cern;"European Organization for Nuclear Research (""CERN"")";generic
cfa;CFA Institute;generic
cfd;DOTCFD REGISTRY LTD;generic
chanel;Chanel International B.V.;generic
channel;Charleston Road Registry Inc.;generic
charity;Corn Lake, LLC;generic
chase;JPMorgan Chase Bank, National Association;generic
chat;Binky Moon, LLC;generic
cheap;Binky Moon, LLC;generic
chintai;CHINTAI Corporation;generic
chloe;Not assigned;generic
christmas;Uniregistry, Corp.;generic
chrome;Charleston Road Registry Inc.;generic
chrysler;FCA US LLC.;generic
church;Binky Moon, LLC;generic
cipriani;Hotel Cipriani Srl;generic
circle;Amazon Registry Services, Inc.;generic
cisco;Cisco Technology, Inc.;generic
citadel;Citadel Domain LLC;generic
citi;Citigroup Inc.;generic
citic;CITIC Group Corporation;generic
city;Binky Moon, LLC;generic
cityeats;Lifestyle Domain Holdings, Inc.;generic
claims;Binky Moon, LLC;generic
cleaning;Binky Moon, LLC;generic
click;Uniregistry, Corp.;generic
clinic;Binky Moon, LLC;generic
clinique;The Estée Lauder Companies Inc.;generic
clothing;Binky Moon, LLC;generic
cloud;ARUBA PEC S.p.A.;generic
club;.CLUB DOMAINS, LLC;generic
clubmed;Club Méditerranée S.A.;generic
coach;Binky Moon, LLC;generic
codes;Binky Moon, LLC;generic
coffee;Binky Moon, LLC;generic
college;XYZ.COM LLC;generic
cologne;dotKoeln GmbH;generic
com;Commercial organizations;generic
comcast;Comcast IP Holdings I, LLC;generic
commbank;COMMONWEALTH BANK OF AUSTRALIA;generic
community;Binky Moon, LLC;generic
company;Binky Moon, LLC;generic
compare;iSelect Ltd;generic
computer;Binky Moon, LLC;generic
comsec;VeriSign, Inc.;generic
condos;Binky Moon, LLC;generic
construction;Binky Moon, LLC;generic
consulting;United TLD Holdco, LTD.;generic
contact;Top Level Spectrum, Inc.;generic
contractors;Binky Moon, LLC;generic
cooking;Top Level Domain Holdings Limited;generic
cookingchannel;Lifestyle Domain Holdings, Inc.;generic
cool;Binky Moon, LLC;generic
corsica;Collectivité Territoriale de Corse;generic
country;Top Level Domain Holdings Limited;generic
coupon;Amazon Registry Services, Inc.;generic
coupons;Binky Moon, LLC;generic
courses;OPEN UNIVERSITIES AUSTRALIA PTY LTD;generic
credit;Binky Moon, LLC;generic
creditcard;Binky Moon, LLC;generic
creditunion;CUNA Performance Resources, LLC;generic
cricket;dot Cricket Limited;generic
